,county,state,Lon,Lat
2240,Macoupin,Illinois,-89.925212,39.2420653
2241,Mercer,Illinois,-90.7398717,41.2019729
2242,Moultrie,Illinois,-88.6087498,39.6391442
2243,Piatt,Illinois,-88.6072399,39.967291
2244,Blackford,Indiana,-85.3305529,40.4692826
2245,Spencer,Indiana,-86.7625058,39.2867117
2246,Bremer,Iowa,-92.3099856,42.7669649
2247,Jefferson,Iowa,-91.9718642,41.0131342
2248,O'Brien,Iowa,-95.6277063,43.0755779
2249,Cloud,Kansas,-97.6705137,39.4850226
2250,Cowley,Kansas,-96.8675685,37.2413155
2251,Bath,Kentucky,-82.9112719,37.2425996
2252,Crittenden,Kentucky,-84.6052206,38.7828437
2253,Cumberland,Kentucky,-82.9884955,36.9781475
2254,Lincoln,Kentucky,-83.7390856,37.057867
2255,Meade,Kentucky,-86.1902231,37.9313371
2256,Pendleton,Kentucky,-85.3035678,38.4622879
2257,Caldwell,Louisiana,-92.1130105,32.0820785
2258,Allegany,Maryland,-78.6550628,39.6572451
2259,Dickinson,Michigan,-87.8864905,45.9874631
2260,Koochiching,Minnesota,-93.7684251,48.221596
2261,Wayne,Mississippi,-88.6858852,31.6212491
2262,Howell,Missouri,-91.9151975,36.766989
2263,New Madrid,Missouri,-89.6780945,36.5749606
2264,Colfax,Nebraska,-97.0828487,41.5738643
2265,Gage,Nebraska,-96.7021336,40.2469449
2266,Hamilton,Nebraska,-98.0470062,40.8569853
2267,Otoe,Nebraska,-96.1444582,40.6566851
2268,Yates,New York,-78.3877459617913,43.339997600000004
2269,Dare,North Carolina,-75.90176166116555,35.6549115
2270,Gates,North Carolina,-76.7691236,36.5034867
2271,Macon,North Carolina,-78.0838809,36.4387585
2272,Mitchell,North Carolina,-82.43987784816656,35.612898650000005
2273,Stokes,North Carolina,-77.2646852,35.7165488
2274,Guernsey,Ohio,-81.5923431,40.1817377
2275,Hardin,Ohio,-84.2421677,40.2864377
2276,Williams,Ohio,-84.62404,40.77049
2277,Atoka,Oklahoma,-96.1289831,34.383855
2278,Kingfisher,Oklahoma,-97.9317203,35.861432
2279,Kiowa,Oklahoma,-95.8991586,34.7206516
2280,Woodward,Oklahoma,-99.3903862,36.4336481
2281,Forest,Pennsylvania,-77.6891658,40.9247847
2282,Cherokee,South Carolina,-81.6480755,35.0372626
2283,Hampton,South Carolina,-81.1276052,32.8779425
2284,McCormick,South Carolina,-82.2934586,33.9134577
2285,Lake,South Dakota,-97.1267291,44.0188394
2286,Spink,South Dakota,-98.3730958,44.9438314
2287,Jackson,Tennessee,-88.8177418,35.6144446
